,user_id,avg_time_difference,avg_time_difference_in_min,avg_time_difference_in_hours,followers_count,retweet_count,sentiment_score,sentiment,extreme_user
8238,1262018168236769289,0 days 00:01:07.000000000,1.12,0.019,186,28,0,neutral,1
8239,1262025594948157442,0 days 11:10:06.666666666,670.1,11.168,104,115,0,neutral,0
8240,1262028436966645760,0 days 05:15:04.000000000,315.07,5.251,35,6896,1,positive,0
8241,1262031182360989699,0 days 00:05:51.333333333,5.85,0.098,37,598,0,neutral,1
8242,1262041367515205633,0 days 08:41:06.600000000,521.1,8.685,7,190,2,positive,0
8243,1262041639343796224,0 days 02:26:56.714285714,146.93,2.449,322,154,0,neutral,0
8244,1262044835067895812,0 days 00:00:05.166666666,0.08,0.001,3,244,0,neutral,1
8245,1262046939538952192,0 days 00:01:12.428571428,1.2,0.02,254,35,-4,negative,1
8246,1262051874426851333,0 days 00:01:12.142857142,1.2,0.02,387,11,1,positive,1
8247,1262064360156889088,0 days 00:17:34.833333333,17.57,0.293,150,0,3,positive,1
8248,1262066451877212162,0 days 00:00:16.000000000,0.27,0.004,25,25,3,positive,1
8249,1262090739141525505,0 days 00:00:07.000000000,0.12,0.002,6,95,-1,negative,1
8250,1262110751650492416,0 days 00:00:03.666666666,0.05,0.001,11,251,-1,negative,1
8251,1262123616092774400,0 days 00:01:07.800000000,1.12,0.019,0,2176,0,neutral,1
8252,1262144627961925639,0 days 00:00:06.500000000,0.1,0.002,17,36,-1,negative,1
8253,1262198365208674305,0 days 07:01:09.000000000,421.15,7.019,20,61,1,positive,0
8254,1262210675281182722,0 days 01:33:46.350000000,93.77,1.563,41,29,4,positive,0
8255,1262211912684769280,0 days 04:44:10.666666666,284.17,4.736,32,45,1,positive,0
8256,1262253487858937857,0 days 00:43:30.464285714,43.5,0.725,64,45,3,positive,1
8257,1262254550624489472,0 days 01:13:38.187500000,73.63,1.227,75,44,3,positive,1
8258,1262261088252551168,0 days 02:46:34.666666666,166.57,2.776,57,233,0,neutral,0
8259,1262266606698336258,0 days 00:43:26.750000000,43.43,0.724,489,2,0,neutral,1
8260,1262267006574829571,0 days 09:55:23.333333333,595.38,9.923,98,0,0,neutral,0
8261,1262271908566888448,0 days 00:32:59.116279069,32.98,0.55,95,89,4,positive,1
8262,1262273534614626306,0 days 01:26:57.878787878,86.95,1.449,72,58,1,positive,1
8263,1262275051182862336,0 days 01:49:56.444444444,109.93,1.832,53,66,4,positive,0
8264,1262282877485506560,0 days 06:03:48.500000000,363.8,6.063,242,11,-1,negative,0
8265,1262285536544333824,0 days 00:00:38.548387096,0.63,0.011,79,59,4,positive,1
8266,1262288202716590081,0 days 00:09:51.833333333,9.85,0.164,2,2,2,positive,1
8267,1262290464096620544,0 days 00:00:14.000000000,0.23,0.004,31,235,1,positive,1
8268,1262297444752273419,0 days 00:09:31.100000000,9.52,0.159,1,59,1,positive,1
8269,1262304000134705153,0 days 01:32:42.000000000,92.7,1.545,102,38,2,positive,0
8270,1262315937065127936,0 days 11:55:23.500000000,715.38,11.923,158,4,1,positive,0
8271,1262322924587044869,0 days 00:00:21.857142857,0.35,0.006,8,95,0,neutral,1
8272,1262326508137390082,0 days 02:42:22.142857142,162.37,2.706,188,30,0,neutral,0
8273,1262346692621291520,0 days 00:20:29.897058823,20.48,0.341,91,51,3,positive,1
8274,1262352632385015816,0 days 02:41:25.428571428,161.42,2.69,6,70,0,neutral,0
8275,1262362816830455809,0 days 00:15:38.400000000,15.63,0.261,5,46,3,positive,1
8276,1262372469148659712,0 days 00:00:05.000000000,0.08,0.001,45,208,1,positive,1
8277,1262373056711847937,0 days 00:49:21.078125000,49.35,0.823,88,22,-2,negative,1
8278,1262375965835042824,0 days 00:00:49.333333333,0.82,0.014,211,8,1,positive,1
8279,1262381286485831680,0 days 00:00:06.800000000,0.1,0.002,37,1130,0,neutral,1
8280,1262386679232507909,0 days 00:00:09.666666666,0.15,0.003,81,80,1,positive,1
8281,1262390158562922506,0 days 00:00:11.000000000,0.18,0.003,8,25,1,positive,1
8282,1262394282692009984,0 days 05:59:17.666666666,359.28,5.988,365,3,2,positive,0
8283,1262399955983110144,0 days 00:00:09.000000000,0.15,0.003,16,1,2,positive,1
8284,1262403155221872641,0 days 00:05:12.800000000,5.2,0.087,457,32,2,positive,1
8285,1262408162638008320,0 days 00:00:10.000000000,0.17,0.003,11,88,1,positive,1
8286,1262423072600096768,0 days 03:18:50.550000000,198.83,3.314,73,69,3,positive,0
8287,1262423683081007104,0 days 10:40:31.285714285,640.52,10.675,73,1949,-1,negative,0
8288,1262427912961024000,0 days 00:00:08.666666666,0.13,0.002,36,8,0,neutral,1
8289,1262430257484910595,0 days 00:00:09.500000000,0.15,0.003,9,178,0,neutral,1
8290,1262574875807383554,0 days 01:49:51.250000000,109.85,1.831,242,523,0,neutral,0
8291,1262586445115592709,0 days 00:00:03.250000000,0.05,0.001,762,10,2,positive,1
8292,1262607092860387328,0 days 00:01:01.200000000,1.02,0.017,20,6,-1,negative,1
8293,1262618168440303616,0 days 06:00:22.285714285,360.37,6.006,64,67,-2,negative,0
8294,1262621557618180096,0 days 00:00:19.000000000,0.32,0.005,68,45,0,neutral,1
8295,1262622014612951040,0 days 01:46:17.666666666,106.28,1.771,154,23,0,neutral,0
8296,1262629896934703105,0 days 08:44:06.000000000,524.1,8.735,14,0,2,positive,0
8297,1262631357781626880,0 days 03:55:26.166666666,235.43,3.924,31,90,0,neutral,0
8298,1262635449605951489,0 days 01:10:23.295454545,70.38,1.173,90,40,1,positive,1
8299,1262644700294426624,0 days 01:12:05.384615384,72.08,1.201,73,39,10,positive,1
8300,1262647029957750785,0 days 00:59:24.686274509,59.4,0.99,77,44,10,positive,1
8301,1262653951079374849,0 days 00:32:03.670103092,32.05,0.534,81,72,13,positive,1
8302,1262656321008132097,0 days 01:14:55.250000000,74.92,1.249,47,16,1,positive,1
8303,1262657647746023426,0 days 00:22:42.742424242,22.7,0.378,61,47,5,positive,1
8304,1262658353647415296,0 days 02:51:14.614285714,171.23,2.854,72,42,7,positive,0
8305,1262661366877261825,0 days 06:20:14.100000000,380.23,6.337,36,61,7,positive,0
8306,1262663688793673728,0 days 04:31:16.000000000,271.27,4.521,341,39,2,positive,0
